segment_id,D1_gold,D2_gold,D3_gold,D4_gold,D5_gold,D1_predict,D2_predict,D3_predict,D4_predict,D5_predict
cicpa-349bf83-after-0002,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0003,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0006,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0008,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0009,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0010,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0011,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0012,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0013,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-after-0014,0,0,0,0,0,0,0,0,0,0
cicpa-349bf83-before-0000,2,unknown,unknown,unknown,unknown,0,0,0,0,0
cicpa-349bf83-before-0001,2,unknown,unknown,unknown,unknown,0,0,0,0,0
cicpa-349bf83-before-0004,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-349bf83-before-0005,2,unknown,unknown,unknown,unknown,0,0,0,0,0
cicpa-349bf83-before-0007,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-4f098b3-after-0015,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown
cicpa-6d25ff5-after-0016,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0018,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0020,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0021,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0022,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0023,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0024,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0026,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0027,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0029,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0030,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0032,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0034,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0035,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0036,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0037,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0038,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0040,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0041,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0044,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0046,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0047,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0048,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0049,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0050,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0051,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0053,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0056,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0057,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0058,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-after-0059,0,0,0,0,0,0,0,0,0,0
cicpa-6d25ff5-before-0017,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0019,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0025,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0028,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0031,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0033,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0039,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0042,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0043,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0045,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0052,unknown,unknown,unknown,2,unknown,0,0,0,0,0
cicpa-6d25ff5-before-0054,unknown,unknown,unknown,unknown,2,0,0,0,0,0
cicpa-6d25ff5-before-0055,unknown,unknown,unknown,unknown,2,0,0,0,0,0
